Fecha,ÍNDICE    ,VARIACIÓN INTERMENSUAL  ,VARIACIÓN INTERANUAL           ,VARIACIÓN ACUMULADA ,VARIACIÓN PROMEDIO     
1/01/10,96.11,1.30,1.43,1.29,1.43
1/02/10,96.53,0.43,2.48,1.73,1.96
1/03/10,97.64,1.16,3.93,2.91,2.61
1/04/10,97.55,-0.10,3.75,2.81,2.90
1/05/10,97.45,-0.10,3.51,2.70,3.02
1/06/10,97.94,0.50,4.07,3.22,3.19
1/07/10,98.30,0.38,4.12,3.61,3.33
1/08/10,98.35,0.04,4.10,3.65,3.42
1/09/10,98.63,0.29,3.76,3.95,3.46
1/10/10,99.15,0.53,4.51,4.50,3.57
1/11/10,99.92,0.77,5.25,5.31,3.72
1/12/10,100.00,0.08,5.39,5.39,3.86
1/01/11,100.82,0.82,4.90,0.82,4.90
1/02/11,101.58,0.75,5.24,1.58,5.07
1/03/11,102.52,0.92,4.99,2.52,5.04
1/04/11,103.17,0.63,5.76,3.17,5.22
1/05/11,103.68,0.49,6.39,3.68,5.46
1/06/11,104.23,0.53,6.42,4.23,5.62
1/07/11,105.22,0.95,7.04,5.22,5.83
1/08/11,105.85,0.60,7.63,5.85,6.05
1/09/11,105.78,-0.07,7.25,5.78,6.19
1/10/11,105.74,-0.04,6.65,5.74,6.23
1/11/11,105.97,0.22,6.05,5.97,6.22
1/12/11,106.20,0.22,6.20,6.20,6.22
1/01/12,106.30,0.09,5.44,0.09,5.44
1/02/12,106.83,0.50,5.17,0.59,5.30
1/03/12,107.18,0.33,4.55,0.92,5.05
1/04/12,107.58,0.37,4.27,1.30,4.85
1/05/12,107.72,0.13,3.90,1.43,4.66
1/06/12,107.85,0.12,3.47,1.55,4.46
1/07/12,108.23,0.35,2.86,1.91,4.22
1/08/12,108.72,0.45,2.71,2.37,4.03
1/09/12,109.25,0.49,3.28,2.87,3.95
1/10/12,109.28,0.03,3.35,2.90,3.89
1/11/12,109.27,-0.01,3.11,2.89,3.81
1/12/12,109.86,0.54,3.45,3.45,3.78
1/01/13,110.40,0.49,3.86,0.49,3.86
1/02/13,111.30,0.82,4.18,1.31,4.02
1/03/13,111.83,0.48,4.34,1.79,4.13
1/04/13,112.02,0.17,4.13,1.97,4.13
1/05/13,112.32,0.27,4.27,2.24,4.16
1/06/13,113.02,0.62,4.79,2.88,4.26
1/07/13,113.36,0.30,4.74,3.19,4.33
1/08/13,113.52,0.14,4.42,3.33,4.34
1/09/13,113.85,0.29,4.21,3.63,4.33
1/10/13,113.82,-0.03,4.15,3.60,4.31
1/11/13,114.33,0.45,4.63,4.07,4.34
1/12/13,114.68,0.31,4.39,4.39,4.34
1/01/14,114.97,0.25,4.14,0.25,4.14
1/02/14,115.20,0.20,3.50,0.45,3.82
1/03/14,115.46,0.23,3.25,0.68,3.62
1/04/14,115.68,0.19,3.27,0.87,3.54
1/05/14,115.94,0.22,3.22,1.10,3.47
1/06/14,116.56,0.53,3.13,1.64,3.42
1/07/14,117.23,0.57,3.41,2.22,3.41
1/08/14,117.72,0.42,3.70,2.65,3.46
1/09/14,117.78,0.05,3.45,2.70,3.45
1/10/14,117.96,0.15,3.64,2.86,3.47
1/11/14,118.19,0.19,3.38,3.06,3.46
1/12/14,118.06,-0.11,2.95,2.95,3.42
1/01/15,117.64,-0.36,2.32,-0.36,2.32
1/02/15,118.01,0.31,2.44,-0.04,2.38
1/03/15,118.26,0.21,2.43,0.17,2.40
1/04/15,118.66,0.34,2.58,0.51,2.44
1/05/15,118.90,0.20,2.55,0.71,2.46
1/06/15,119.34,0.37,2.39,1.08,2.45
1/07/15,119.95,0.51,2.32,1.60,2.43
1/08/15,120.03,0.07,1.96,1.67,2.37
1/09/15,119.99,-0.03,1.88,1.63,2.32
1/10/15,120.59,0.50,2.23,2.14,2.31
1/11/15,121.16,0.47,2.51,2.63,2.33
1/12/15,121.68,0.43,3.07,3.07,2.39
1/01/16,122.79,0.91,4.38,0.91,4.38
1/02/16,123.05,0.21,4.27,1.13,4.32
1/03/16,123.30,0.20,4.26,1.33,4.30
1/04/16,123.51,0.17,4.09,1.50,4.25
1/05/16,124.08,0.46,4.36,1.97,4.27
1/06/16,124.63,0.44,4.43,2.42,4.30
1/07/16,125.49,0.69,4.62,3.13,4.34
1/08/16,125.72,0.18,4.74,3.32,4.39
1/09/16,125.46,-0.21,4.56,3.11,4.41
1/10/16,126.33,0.69,4.76,3.82,4.45
1/11/16,126.82,0.39,4.67,4.22,4.47
1/12/16,126.83,0.01,4.23,4.23,4.45
1/01/17,127.49,0.52,3.83,0.52,3.83
1/02/17,127.92,0.34,3.96,0.86,3.89
1/03/17,128.23,0.24,4.00,1.10,3.93
1/04/17,128.56,0.26,4.09,1.36,3.97
1/05/17,128.96,0.31,3.93,1.68,3.96
1/06/17,130.07,0.86,4.36,2.55,4.03
1/07/17,132.04,1.51,5.22,4.11,4.20
1/08/17,131.65,-0.30,4.72,3.80,4.27
1/09/17,130.93,-0.55,4.36,3.23,4.28
1/10/17,131.64,0.54,4.20,3.79,4.27
1/11/17,132.77,0.86,4.69,4.68,4.31
1/12/17,134.03,0.95,5.68,5.68,4.42
1/01/18,133.50,-0.40,4.71,-0.40,4.71
1/02/18,133.23,-0.20,4.15,-0.60,4.43
1/03/18,133.54,0.23,4.14,-0.37,4.33
1/04/18,133.60,0.04,3.92,-0.32,4.23
1/05/18,134.23,0.47,4.09,0.15,4.20
1/06/18,135.00,0.57,3.79,0.72,4.13
1/07/18,135.48,0.36,2.61,1.08,3.91
1/08/18,136.08,0.44,3.36,1.53,3.84
1/09/18,136.89,0.60,4.55,2.13,3.92
1/10/18,137.35,0.34,4.34,2.48,3.96
1/11/18,136.95,-0.29,3.15,2.18,3.89
1/12/18,137.13,0.13,2.31,2.31,3.75
1/01/19,138.98,1.35,4.10,1.35,4.10
1/02/19,139.17,0.14,4.46,1.49,4.28
1/03/19,139.11,-0.04,4.17,1.44,4.24
1/04/19,139.95,0.60,4.75,2.06,4.37
1/05/19,140.32,0.26,4.54,2.33,4.41
1/06/19,141.48,0.83,4.80,3.17,4.47
1/07/19,141.40,-0.06,4.37,3.11,4.46
1/08/19,140.18,-0.86,3.01,2.22,4.27
1/09/19,139.36,-0.58,1.80,1.63,3.99
1/10/19,140.33,0.70,2.17,2.33,3.81
1/11/19,140.95,0.44,2.92,2.79,3.73
1/12/19,141.80,0.60,3.41,3.41,3.70
1/01/20,141.46,-0.24,1.78,-0.24,1.78
1/02/20,140.89,-0.40,1.24,-0.64,1.51
1/03/20,141.57,0.48,1.77,-0.16,1.60
1/04/20,142.58,0.71,1.88,0.55,1.67
1/05/20,142.85,0.19,1.80,0.74,1.69
1/06/20,144.86,1.41,2.39,2.16,1.81
1/07/20,145.47,0.42,2.88,2.59,1.97
1/08/20,146.05,0.40,4.19,3.00,2.24
1/09/20,146.28,0.16,4.97,3.16,2.54
1/10/20,147.83,1.06,5.34,4.25,2.83
1/11/20,148.65,0.55,5.46,4.83,3.07
1/12/20,148.64,-0.01,4.82,4.82,3.21
1/01/21,148.87,0.15,5.24,0.15,5.24
1/02/21,149.34,0.32,6.00,0.47,5.62
1/03/21,149.84,0.33,5.84,0.81,5.69
1/04/21,150.00,0.11,5.20,0.91,5.57
1/05/21,150.24,0.16,5.17,1.08,5.49
1/06/21,150.52,0.19,3.91,1.26,5.22
1/07/21,151.02,0.33,3.82,1.60,5.02
1/08/21,151.33,0.21,3.62,1.81,4.84
1/09/21,151.65,0.21,3.67,2.03,4.71
1/10/21,152.20,0.36,2.96,2.40,4.53
1/11/21,152.94,0.49,2.89,2.89,4.37
1/12/21,153.20,0.17,3.07,3.07,4.26
1/01/22,153.14,-0.04,2.87,-0.04,2.87
1/02/22,153.79,0.42,2.98,0.39,2.92
1/03/22,156.09,1.50,4.17,1.89,3.34
1/04/22,156.93,0.54,4.62,2.43,3.66
1/05/22,158.98,1.31,5.82,3.77,4.09
1/06/22,161.89,1.83,7.55,5.67,4.67
1/07/22,163.64,1.08,8.36,6.81,5.20
1/08/22,164.76,0.68,8.87,7.55,5.67
1/09/22,165.35,0.36,9.03,7.93,6.04
1/10/22,166.97,0.98,9.70,8.99,6.41
1/11/22,166.96,-0.01,9.17,8.98,6.67
1/12/22,167.35,0.23,9.24,9.24,6.89
1/01/23,167.98,0.38,9.69,0.38,9.69
1/02/23,169.05,0.64,9.92,1.02,9.81
1/03/23,169.69,0.38,8.71,1.40,9.44
1/04/23,169.98,0.17,8.32,1.57,9.15
1/05/23,169.37,-0.36,6.54,1.21,8.62
1/06/23,169.87,0.30,4.93,1.51,7.98
1/07/23,171.06,0.70,4.53,2.22,7.47
1/08/23,172.13,0.63,4.47,2.86,7.08
1/09/23,173.10,0.56,4.69,3.44,6.81